,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2005-11-02,90984,20051107.0,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,10.01,,16495.0,1.0,10.02,165114.95,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-03,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,10.01,0.0,16495.0,1.0,10.09,165114.95,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-04,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,10.07,0.005994,16495.0,1.0,10.0,166104.65,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-07,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,10.48,0.040715,16495.0,1.0,10.07,172867.6,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-08,90984,20080608.0,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,10.25,-0.021947,16495.0,1.0,10.5,169073.75,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-09,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,10.08,-0.016585,16495.0,1.0,10.2,166269.6,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-10,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,10.0,-0.007937,16495.0,1.0,10.05,164950.0,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-11,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,9.9,-0.01,16495.0,1.0,10.0,163300.5,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-14,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,9.16,-0.074747,16495.0,1.0,9.86,151094.2,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-15,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,9.12,-0.004367,16495.0,1.0,9.23,150434.4,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-16,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,8.81,-0.033991,16495.0,1.0,9.3,145320.95,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-17,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,8.78,-0.003405,16495.0,1.0,8.8,144826.1,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-18,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,9.05,0.030752,16495.0,1.0,8.7,149279.75,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-21,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,8.94,-0.012155,16495.0,1.0,9.25,147465.3,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-22,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,9.28,0.038031,16495.0,1.0,8.8,153073.6,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-23,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,9.24,-0.00431,16495.0,1.0,9.16,152413.8,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-25,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,9.25,0.001082,16495.0,1.0,9.0,152578.75,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-28,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,9.2,-0.005405,16495.0,1.0,9.4,151754.0,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-29,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,9.5,0.032609,16495.0,1.0,9.41,156702.5,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-11-30,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,9.61,0.011579,16496.0,1.0,10.0,158526.56,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2005-12-01,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,9.58,-0.003122,16496.0,1.0,9.66,158031.68,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,8.0,,,,8.0,9.0,9.0,,1.0,10,,10,10
2005-12-02,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,9.55,-0.003131,16496.0,1.0,9.7,157536.8,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,8.0,,,,8.0,9.0,9.0,,1.0,10,,10,10
2005-12-05,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,9.4,-0.015707,16496.0,1.0,9.55,155062.4,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,8.0,,,,8.0,9.0,9.0,,1.0,10,,10,10
2005-12-06,90984,,11,3,7372.0,94769V10,WSPI,WEBSITE PROS INC,WSPI,511210.0,Q,A,R,48782,3,7372.0,,,,73.0,737.0,,,,,,,9.24,-0.017021,16496.0,1.0,9.32,152423.04,WSPI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,8.0,,,,8.0,9.0,9.0,,1.0,10,,10,10
