,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2005-01-03,80055,,11,3,7370.0,92343610,VRTS,VERITAS SOFTWARE CORP,VRTS,511210.0,Q,A,R,12656,3,7370.0,92343610.0,,,73.0,737.0,,,,,,,28.84,0.010158,423071.0,1.0,28.75,12201367.64,VRTS,2.0,2.0,6.0,2.0,2.0,1,1.0,10.0,5.0,7.0,1.0,1.0,10.0,,3.0,1.0,9.0,2.0,5.0,8.0,3.0,1.0,8.0,6.0,1.0,1.0,,,1.0,6.0,1.0,1.0,6.0,1.0,3.0,10.0,3.0,9.0,5.0,5.0,5.0,7.0,1.0,2.0,1.0,7.0,1.0,,,5.0,5.0,7,1.0,10,1
2005-01-04,80055,,11,3,7370.0,92343610,VRTS,VERITAS SOFTWARE CORP,VRTS,511210.0,Q,A,R,12656,3,7370.0,92343610.0,,,73.0,737.0,,,,,,,27.77,-0.037101,423071.0,1.0,29.04,11748681.67,VRTS,2.0,2.0,6.0,2.0,2.0,1,1.0,10.0,5.0,7.0,1.0,1.0,10.0,,3.0,1.0,9.0,2.0,5.0,8.0,3.0,1.0,8.0,6.0,1.0,1.0,,,1.0,6.0,1.0,1.0,6.0,1.0,3.0,10.0,3.0,9.0,5.0,5.0,5.0,7.0,1.0,2.0,1.0,7.0,1.0,,,5.0,5.0,7,1.0,10,1
2005-01-05,80055,,11,3,7370.0,92343610,VRTS,VERITAS SOFTWARE CORP,VRTS,511210.0,Q,A,R,12656,3,7370.0,92343610.0,,,73.0,737.0,,,,,,,27.46,-0.011163,423071.0,1.0,27.71,11617529.66,VRTS,2.0,2.0,6.0,2.0,2.0,1,1.0,10.0,5.0,7.0,1.0,1.0,10.0,,3.0,1.0,9.0,2.0,5.0,8.0,3.0,1.0,8.0,6.0,1.0,1.0,,,1.0,6.0,1.0,1.0,6.0,1.0,3.0,10.0,3.0,9.0,5.0,5.0,5.0,7.0,1.0,2.0,1.0,7.0,1.0,,,5.0,5.0,7,1.0,10,1
2005-01-06,80055,,11,3,7370.0,92343610,VRTS,VERITAS SOFTWARE CORP,VRTS,511210.0,Q,A,R,12656,3,7370.0,92343610.0,,,73.0,737.0,,,,,,,25.56,-0.069192,423071.0,1.0,26.62,10813694.76,VRTS,2.0,2.0,6.0,2.0,2.0,1,1.0,10.0,5.0,7.0,1.0,1.0,10.0,,3.0,1.0,9.0,2.0,5.0,8.0,3.0,1.0,8.0,6.0,1.0,1.0,,,1.0,6.0,1.0,1.0,6.0,1.0,3.0,10.0,3.0,9.0,5.0,5.0,5.0,7.0,1.0,2.0,1.0,7.0,1.0,,,5.0,5.0,7,1.0,10,1
2005-01-07,80055,,11,3,7370.0,92343610,VRTS,VERITAS SOFTWARE CORP,VRTS,511210.0,Q,A,R,12656,3,7370.0,92343610.0,,,73.0,737.0,,,,,,,26.23,0.026213,423071.0,1.0,25.73,11097152.33,VRTS,2.0,2.0,6.0,2.0,2.0,1,1.0,10.0,5.0,7.0,1.0,1.0,10.0,,3.0,1.0,9.0,2.0,5.0,8.0,3.0,1.0,8.0,6.0,1.0,1.0,,,1.0,6.0,1.0,1.0,6.0,1.0,3.0,10.0,3.0,9.0,5.0,5.0,5.0,7.0,1.0,2.0,1.0,7.0,1.0,,,5.0,5.0,7,1.0,10,1
2005-01-10,80055,,11,3,7370.0,92343610,VRTS,VERITAS SOFTWARE CORP,VRTS,511210.0,Q,A,R,12656,3,7370.0,92343610.0,,,73.0,737.0,,,,,,,26.15,-0.00305,423071.0,1.0,26.24,11063306.65,VRTS,2.0,2.0,6.0,2.0,2.0,1,1.0,10.0,5.0,7.0,1.0,1.0,10.0,,3.0,1.0,9.0,2.0,5.0,8.0,3.0,1.0,8.0,6.0,1.0,1.0,,,1.0,6.0,1.0,1.0,6.0,1.0,3.0,10.0,3.0,9.0,5.0,5.0,5.0,7.0,1.0,2.0,1.0,7.0,1.0,,,5.0,5.0,7,1.0,10,1
2005-01-11,80055,,11,3,7370.0,92343610,VRTS,VERITAS SOFTWARE CORP,VRTS,511210.0,Q,A,R,12656,3,7370.0,92343610.0,,,73.0,737.0,,,,,,,25.87,-0.010707,423071.0,1.0,25.8,10944846.77,VRTS,2.0,2.0,6.0,2.0,2.0,1,1.0,10.0,5.0,7.0,1.0,1.0,10.0,,3.0,1.0,9.0,2.0,5.0,8.0,3.0,1.0,8.0,6.0,1.0,1.0,,,1.0,6.0,1.0,1.0,6.0,1.0,3.0,10.0,3.0,9.0,5.0,5.0,5.0,7.0,1.0,2.0,1.0,7.0,1.0,,,5.0,5.0,7,1.0,10,1
2005-01-12,80055,,11,3,7370.0,92343610,VRTS,VERITAS SOFTWARE CORP,VRTS,511210.0,Q,A,R,12656,3,7370.0,92343610.0,,,73.0,737.0,,,,,,,25.99,0.004639,423071.0,1.0,25.86,10995615.29,VRTS,2.0,2.0,6.0,2.0,2.0,1,1.0,10.0,5.0,7.0,1.0,1.0,10.0,,3.0,1.0,9.0,2.0,5.0,8.0,3.0,1.0,8.0,6.0,1.0,1.0,,,1.0,6.0,1.0,1.0,6.0,1.0,3.0,10.0,3.0,9.0,5.0,5.0,5.0,7.0,1.0,2.0,1.0,7.0,1.0,,,5.0,5.0,7,1.0,10,1
2005-01-13,80055,,11,3,7370.0,92343610,VRTS,VERITAS SOFTWARE CORP,VRTS,511210.0,Q,A,R,12656,3,7370.0,92343610.0,,,73.0,737.0,,,,,,,26.38,0.015006,423071.0,1.0,25.96,11160612.98,VRTS,2.0,2.0,6.0,2.0,2.0,1,1.0,10.0,5.0,7.0,1.0,1.0,10.0,,3.0,1.0,9.0,2.0,5.0,8.0,3.0,1.0,8.0,6.0,1.0,1.0,,,1.0,6.0,1.0,1.0,6.0,1.0,3.0,10.0,3.0,9.0,5.0,5.0,5.0,7.0,1.0,2.0,1.0,7.0,1.0,,,5.0,5.0,7,1.0,10,1
2005-01-14,80055,,11,3,7370.0,92343610,VRTS,VERITAS SOFTWARE CORP,VRTS,511210.0,Q,A,R,12656,3,7370.0,92343610.0,,,73.0,737.0,,,,,,,26.94,0.021228,423071.0,1.0,26.55,11397532.74,VRTS,2.0,2.0,6.0,2.0,2.0,1,1.0,10.0,5.0,7.0,1.0,1.0,10.0,,3.0,1.0,9.0,2.0,5.0,8.0,3.0,1.0,8.0,6.0,1.0,1.0,,,1.0,6.0,1.0,1.0,6.0,1.0,3.0,10.0,3.0,9.0,5.0,5.0,5.0,7.0,1.0,2.0,1.0,7.0,1.0,,,5.0,5.0,7,1.0,10,1
