,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2005-01-03,84588,,11,1,7011.0,91879Q10,MTN,VAIL RESORTS INC,MTN,721199.0,N,A,R,31933,1,7011.0,,,,70.0,701.0,,,,,,,22.01,-0.018287,35428.0,1.0,22.32,779770.28,MTN,8.0,10.0,1.0,10.0,6.0,1,1.0,1.0,2.0,7.0,8.0,2.0,2.0,,2.0,9.0,3.0,6.0,6.0,7.0,3.0,9.0,2.0,2.0,8.0,5.0,,,10.0,7.0,10.0,9.0,6.0,8.0,4.0,8.0,9.0,1.0,,1.0,1.0,1.0,9.0,3.0,7.0,2.0,10.0,,,4.0,4.0,8,5.0,10,1
2005-01-04,84588,,11,1,7011.0,91879Q10,MTN,VAIL RESORTS INC,MTN,721199.0,N,A,R,31933,1,7011.0,,,,70.0,701.0,,,,,,,21.97,-0.001817,35428.0,1.0,22.01,778353.16,MTN,8.0,10.0,1.0,10.0,6.0,1,1.0,1.0,2.0,7.0,8.0,2.0,2.0,,2.0,9.0,3.0,6.0,6.0,7.0,3.0,9.0,2.0,2.0,8.0,5.0,,,10.0,7.0,10.0,9.0,6.0,8.0,4.0,8.0,9.0,1.0,,1.0,1.0,1.0,9.0,3.0,7.0,2.0,10.0,,,4.0,4.0,8,5.0,10,1
2005-01-05,84588,,11,1,7011.0,91879Q10,MTN,VAIL RESORTS INC,MTN,721199.0,N,A,R,31933,1,7011.0,,,,70.0,701.0,,,,,,,21.66,-0.01411,35428.0,1.0,21.75,767370.48,MTN,8.0,10.0,1.0,10.0,6.0,1,1.0,1.0,2.0,7.0,8.0,2.0,2.0,,2.0,9.0,3.0,6.0,6.0,7.0,3.0,9.0,2.0,2.0,8.0,5.0,,,10.0,7.0,10.0,9.0,6.0,8.0,4.0,8.0,9.0,1.0,,1.0,1.0,1.0,9.0,3.0,7.0,2.0,10.0,,,4.0,4.0,8,5.0,10,1
2005-01-06,84588,,11,1,7011.0,91879Q10,MTN,VAIL RESORTS INC,MTN,721199.0,N,A,R,31933,1,7011.0,,,,70.0,701.0,,,,,,,21.8,0.006463,35428.0,1.0,21.65,772330.4,MTN,8.0,10.0,1.0,10.0,6.0,1,1.0,1.0,2.0,7.0,8.0,2.0,2.0,,2.0,9.0,3.0,6.0,6.0,7.0,3.0,9.0,2.0,2.0,8.0,5.0,,,10.0,7.0,10.0,9.0,6.0,8.0,4.0,8.0,9.0,1.0,,1.0,1.0,1.0,9.0,3.0,7.0,2.0,10.0,,,4.0,4.0,8,5.0,10,1
2005-01-07,84588,,11,1,7011.0,91879Q10,MTN,VAIL RESORTS INC,MTN,721199.0,N,A,R,31933,1,7011.0,,,,70.0,701.0,,,,,,,21.65,-0.006881,35428.0,1.0,21.8,767016.2,MTN,8.0,10.0,1.0,10.0,6.0,1,1.0,1.0,2.0,7.0,8.0,2.0,2.0,,2.0,9.0,3.0,6.0,6.0,7.0,3.0,9.0,2.0,2.0,8.0,5.0,,,10.0,7.0,10.0,9.0,6.0,8.0,4.0,8.0,9.0,1.0,,1.0,1.0,1.0,9.0,3.0,7.0,2.0,10.0,,,4.0,4.0,8,5.0,10,1
2005-01-10,84588,,11,1,7011.0,91879Q10,MTN,VAIL RESORTS INC,MTN,721199.0,N,A,R,31933,1,7011.0,,,,70.0,701.0,,,,,,,21.55,-0.004619,35428.0,1.0,21.55,763473.4,MTN,8.0,10.0,1.0,10.0,6.0,1,1.0,1.0,2.0,7.0,8.0,2.0,2.0,,2.0,9.0,3.0,6.0,6.0,7.0,3.0,9.0,2.0,2.0,8.0,5.0,,,10.0,7.0,10.0,9.0,6.0,8.0,4.0,8.0,9.0,1.0,,1.0,1.0,1.0,9.0,3.0,7.0,2.0,10.0,,,4.0,4.0,8,5.0,10,1
2005-01-11,84588,,11,1,7011.0,91879Q10,MTN,VAIL RESORTS INC,MTN,721199.0,N,A,R,31933,1,7011.0,,,,70.0,701.0,,,,,,,21.76,0.009745,35428.0,1.0,21.58,770913.28,MTN,8.0,10.0,1.0,10.0,6.0,1,1.0,1.0,2.0,7.0,8.0,2.0,2.0,,2.0,9.0,3.0,6.0,6.0,7.0,3.0,9.0,2.0,2.0,8.0,5.0,,,10.0,7.0,10.0,9.0,6.0,8.0,4.0,8.0,9.0,1.0,,1.0,1.0,1.0,9.0,3.0,7.0,2.0,10.0,,,4.0,4.0,8,5.0,10,1
2005-01-12,84588,,11,1,7011.0,91879Q10,MTN,VAIL RESORTS INC,MTN,721199.0,N,A,R,31933,1,7011.0,,,,70.0,701.0,,,,,,,21.66,-0.004596,35428.0,1.0,21.61,767370.48,MTN,8.0,10.0,1.0,10.0,6.0,1,1.0,1.0,2.0,7.0,8.0,2.0,2.0,,2.0,9.0,3.0,6.0,6.0,7.0,3.0,9.0,2.0,2.0,8.0,5.0,,,10.0,7.0,10.0,9.0,6.0,8.0,4.0,8.0,9.0,1.0,,1.0,1.0,1.0,9.0,3.0,7.0,2.0,10.0,,,4.0,4.0,8,5.0,10,1
2005-01-13,84588,,11,1,7011.0,91879Q10,MTN,VAIL RESORTS INC,MTN,721199.0,N,A,R,31933,1,7011.0,,,,70.0,701.0,,,,,,,21.65,-0.000462,35428.0,1.0,21.6,767016.2,MTN,8.0,10.0,1.0,10.0,6.0,1,1.0,1.0,2.0,7.0,8.0,2.0,2.0,,2.0,9.0,3.0,6.0,6.0,7.0,3.0,9.0,2.0,2.0,8.0,5.0,,,10.0,7.0,10.0,9.0,6.0,8.0,4.0,8.0,9.0,1.0,,1.0,1.0,1.0,9.0,3.0,7.0,2.0,10.0,,,4.0,4.0,8,5.0,10,1
2005-01-14,84588,,11,1,7011.0,91879Q10,MTN,VAIL RESORTS INC,MTN,721199.0,N,A,R,31933,1,7011.0,,,,70.0,701.0,,,,,,,22.09,0.020323,35428.0,1.0,21.7,782604.52,MTN,8.0,10.0,1.0,10.0,6.0,1,1.0,1.0,2.0,7.0,8.0,2.0,2.0,,2.0,9.0,3.0,6.0,6.0,7.0,3.0,9.0,2.0,2.0,8.0,5.0,,,10.0,7.0,10.0,9.0,6.0,8.0,4.0,8.0,9.0,1.0,,1.0,1.0,1.0,9.0,3.0,7.0,2.0,10.0,,,4.0,4.0,8,5.0,10,1
