,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2005-01-03,84738,,11,3,6030.0,36227410,GSLA,G S FINANCIAL CORP,GSLA,522120.0,Q,A,R,15416,3,6030.0,36227410.0,,,60.0,603.0,,,,,,,17.97,-0.001667,1288.0,1.0,18.02,23145.36,GSLA,10.0,,,,,1,10.0,1.0,10.0,,,,,6.0,3.0,1.0,,,,,,10.0,2.0,2.0,3.0,,1.0,,3.0,6.0,,,10.0,3.0,9.0,4.0,,9.0,,2.0,4.0,2.0,10.0,5.0,10.0,5.0,10.0,,,10.0,3.0,8,10.0,10,1
2005-01-04,84738,,11,3,6030.0,36227410,GSLA,G S FINANCIAL CORP,GSLA,522120.0,Q,A,R,15416,3,6030.0,36227410.0,,,60.0,603.0,,,,,,,-18.465,0.027546,1288.0,1.0,,-23782.92,GSLA,10.0,,,,,1,10.0,1.0,10.0,,,,,6.0,3.0,1.0,,,,,,10.0,2.0,2.0,3.0,,1.0,,3.0,6.0,,,10.0,3.0,9.0,4.0,,9.0,,2.0,4.0,2.0,10.0,5.0,10.0,5.0,10.0,,,10.0,3.0,8,10.0,10,1
2005-01-05,84738,,11,3,6030.0,36227410,GSLA,G S FINANCIAL CORP,GSLA,522120.0,Q,A,R,15416,3,6030.0,36227410.0,,,60.0,603.0,,,,,,,18.12,-0.018684,1288.0,1.0,18.1,23338.56,GSLA,10.0,,,,,1,10.0,1.0,10.0,,,,,6.0,3.0,1.0,,,,,,10.0,2.0,2.0,3.0,,1.0,,3.0,6.0,,,10.0,3.0,9.0,4.0,,9.0,,2.0,4.0,2.0,10.0,5.0,10.0,5.0,10.0,,,10.0,3.0,8,10.0,10,1
2005-01-06,84738,,11,3,6030.0,36227410,GSLA,G S FINANCIAL CORP,GSLA,522120.0,Q,A,R,15416,3,6030.0,36227410.0,,,60.0,603.0,,,,,,,18.83,0.039183,1288.0,1.0,18.83,24253.04,GSLA,10.0,,,,,1,10.0,1.0,10.0,,,,,6.0,3.0,1.0,,,,,,10.0,2.0,2.0,3.0,,1.0,,3.0,6.0,,,10.0,3.0,9.0,4.0,,9.0,,2.0,4.0,2.0,10.0,5.0,10.0,5.0,10.0,,,10.0,3.0,8,10.0,10,1
2005-01-07,84738,,11,3,6030.0,36227410,GSLA,G S FINANCIAL CORP,GSLA,522120.0,Q,A,R,15416,3,6030.0,36227410.0,,,60.0,603.0,,,,,,,-18.49,-0.018056,1288.0,1.0,,-23815.12,GSLA,10.0,,,,,1,10.0,1.0,10.0,,,,,6.0,3.0,1.0,,,,,,10.0,2.0,2.0,3.0,,1.0,,3.0,6.0,,,10.0,3.0,9.0,4.0,,9.0,,2.0,4.0,2.0,10.0,5.0,10.0,5.0,10.0,,,10.0,3.0,8,10.0,10,1
2005-01-10,84738,,11,3,6030.0,36227410,GSLA,G S FINANCIAL CORP,GSLA,522120.0,Q,A,R,15416,3,6030.0,36227410.0,,,60.0,603.0,,,,,,,-18.4,-0.004868,1288.0,1.0,,-23699.2,GSLA,10.0,,,,,1,10.0,1.0,10.0,,,,,6.0,3.0,1.0,,,,,,10.0,2.0,2.0,3.0,,1.0,,3.0,6.0,,,10.0,3.0,9.0,4.0,,9.0,,2.0,4.0,2.0,10.0,5.0,10.0,5.0,10.0,,,10.0,3.0,8,10.0,10,1
2005-01-11,84738,,11,3,6030.0,36227410,GSLA,G S FINANCIAL CORP,GSLA,522120.0,Q,A,R,15416,3,6030.0,36227410.0,,,60.0,603.0,,,,,,,18.021,-0.020598,1288.0,1.0,18.021,23211.048,GSLA,10.0,,,,,1,10.0,1.0,10.0,,,,,6.0,3.0,1.0,,,,,,10.0,2.0,2.0,3.0,,1.0,,3.0,6.0,,,10.0,3.0,9.0,4.0,,9.0,,2.0,4.0,2.0,10.0,5.0,10.0,5.0,10.0,,,10.0,3.0,8,10.0,10,1
2005-01-12,84738,,11,3,6030.0,36227410,GSLA,G S FINANCIAL CORP,GSLA,522120.0,Q,A,R,15416,3,6030.0,36227410.0,,,60.0,603.0,,,,,,,18.49,0.026025,1288.0,1.0,18.49,23815.12,GSLA,10.0,,,,,1,10.0,1.0,10.0,,,,,6.0,3.0,1.0,,,,,,10.0,2.0,2.0,3.0,,1.0,,3.0,6.0,,,10.0,3.0,9.0,4.0,,9.0,,2.0,4.0,2.0,10.0,5.0,10.0,5.0,10.0,,,10.0,3.0,8,10.0,10,1
2005-01-13,84738,,11,3,6030.0,36227410,GSLA,G S FINANCIAL CORP,GSLA,522120.0,Q,A,R,15416,3,6030.0,36227410.0,,,60.0,603.0,,,,,,,-18.59,0.005408,1288.0,1.0,,-23943.92,GSLA,10.0,,,,,1,10.0,1.0,10.0,,,,,6.0,3.0,1.0,,,,,,10.0,2.0,2.0,3.0,,1.0,,3.0,6.0,,,10.0,3.0,9.0,4.0,,9.0,,2.0,4.0,2.0,10.0,5.0,10.0,5.0,10.0,,,10.0,3.0,8,10.0,10,1
2005-01-14,84738,,11,3,6030.0,36227410,GSLA,G S FINANCIAL CORP,GSLA,522120.0,Q,A,R,15416,3,6030.0,36227410.0,,,60.0,603.0,,,,,,,-18.53,-0.003228,1288.0,1.0,,-23866.64,GSLA,10.0,,,,,1,10.0,1.0,10.0,,,,,6.0,3.0,1.0,,,,,,10.0,2.0,2.0,3.0,,1.0,,3.0,6.0,,,10.0,3.0,9.0,4.0,,9.0,,2.0,4.0,2.0,10.0,5.0,10.0,5.0,10.0,,,10.0,3.0,8,10.0,10,1
