,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2005-01-03,76845,,11,3,2830.0,81731510,SEPR,SEPRACOR INC,SEPR,325412.0,Q,A,R,11117,3,2830.0,81731510.0,,,28.0,283.0,,,,,,,59.5,0.00219,103376.0,1.0,59.35,6150872.0,SEPR,3.0,,6.0,,,10,1.0,1.0,3.0,7.0,1.0,1.0,10.0,,1.0,,10.0,8.0,9.0,10.0,1.0,2.0,1.0,,1.0,8.0,,,3.0,1.0,,,1.0,10.0,7.0,10.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,9.0,1.0,,,8.0,9.0,7,1.0,10,1
2005-01-04,76845,,11,3,2830.0,81731510,SEPR,SEPRACOR INC,SEPR,325412.0,Q,A,R,11117,3,2830.0,81731510.0,,,28.0,283.0,,,,,,,58.11,-0.023361,103376.0,1.0,59.605,6007179.36,SEPR,3.0,,6.0,,,10,1.0,1.0,3.0,7.0,1.0,1.0,10.0,,1.0,,10.0,8.0,9.0,10.0,1.0,2.0,1.0,,1.0,8.0,,,3.0,1.0,,,1.0,10.0,7.0,10.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,9.0,1.0,,,8.0,9.0,7,1.0,10,1
2005-01-05,76845,,11,3,2830.0,81731510,SEPR,SEPRACOR INC,SEPR,325412.0,Q,A,R,11117,3,2830.0,81731510.0,,,28.0,283.0,,,,,,,58.1,-0.000172,103376.0,1.0,57.87,6006145.6,SEPR,3.0,,6.0,,,10,1.0,1.0,3.0,7.0,1.0,1.0,10.0,,1.0,,10.0,8.0,9.0,10.0,1.0,2.0,1.0,,1.0,8.0,,,3.0,1.0,,,1.0,10.0,7.0,10.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,9.0,1.0,,,8.0,9.0,7,1.0,10,1
2005-01-06,76845,,11,3,2830.0,81731510,SEPR,SEPRACOR INC,SEPR,325412.0,Q,A,R,11117,3,2830.0,81731510.0,,,28.0,283.0,,,,,,,59.86,0.030293,103376.0,1.0,58.62,6188087.36,SEPR,3.0,,6.0,,,10,1.0,1.0,3.0,7.0,1.0,1.0,10.0,,1.0,,10.0,8.0,9.0,10.0,1.0,2.0,1.0,,1.0,8.0,,,3.0,1.0,,,1.0,10.0,7.0,10.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,9.0,1.0,,,8.0,9.0,7,1.0,10,1
2005-01-07,76845,,11,3,2830.0,81731510,SEPR,SEPRACOR INC,SEPR,325412.0,Q,A,R,11117,3,2830.0,81731510.0,,,28.0,283.0,,,,,,,59.51,-0.005847,103376.0,1.0,60.11,6151905.76,SEPR,3.0,,6.0,,,10,1.0,1.0,3.0,7.0,1.0,1.0,10.0,,1.0,,10.0,8.0,9.0,10.0,1.0,2.0,1.0,,1.0,8.0,,,3.0,1.0,,,1.0,10.0,7.0,10.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,9.0,1.0,,,8.0,9.0,7,1.0,10,1
2005-01-10,76845,,11,3,2830.0,81731510,SEPR,SEPRACOR INC,SEPR,325412.0,Q,A,R,11117,3,2830.0,81731510.0,,,28.0,283.0,,,,,,,60.15,0.010755,103376.0,1.0,59.6,6218066.4,SEPR,3.0,,6.0,,,10,1.0,1.0,3.0,7.0,1.0,1.0,10.0,,1.0,,10.0,8.0,9.0,10.0,1.0,2.0,1.0,,1.0,8.0,,,3.0,1.0,,,1.0,10.0,7.0,10.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,9.0,1.0,,,8.0,9.0,7,1.0,10,1
2005-01-11,76845,,11,3,2830.0,81731510,SEPR,SEPRACOR INC,SEPR,325412.0,Q,A,R,11117,3,2830.0,81731510.0,,,28.0,283.0,,,,,,,60.98,0.013799,103376.0,1.0,58.85,6303868.48,SEPR,3.0,,6.0,,,10,1.0,1.0,3.0,7.0,1.0,1.0,10.0,,1.0,,10.0,8.0,9.0,10.0,1.0,2.0,1.0,,1.0,8.0,,,3.0,1.0,,,1.0,10.0,7.0,10.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,9.0,1.0,,,8.0,9.0,7,1.0,10,1
2005-01-12,76845,,11,3,2830.0,81731510,SEPR,SEPRACOR INC,SEPR,325412.0,Q,A,R,11117,3,2830.0,81731510.0,,,28.0,283.0,,,,,,,61.0,0.000328,103376.0,1.0,61.71,6305936.0,SEPR,3.0,,6.0,,,10,1.0,1.0,3.0,7.0,1.0,1.0,10.0,,1.0,,10.0,8.0,9.0,10.0,1.0,2.0,1.0,,1.0,8.0,,,3.0,1.0,,,1.0,10.0,7.0,10.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,9.0,1.0,,,8.0,9.0,7,1.0,10,1
2005-01-13,76845,,11,3,2830.0,81731510,SEPR,SEPRACOR INC,SEPR,325412.0,Q,A,R,11117,3,2830.0,81731510.0,,,28.0,283.0,,,,,,,58.98,-0.033115,103376.0,1.0,60.72,6097116.48,SEPR,3.0,,6.0,,,10,1.0,1.0,3.0,7.0,1.0,1.0,10.0,,1.0,,10.0,8.0,9.0,10.0,1.0,2.0,1.0,,1.0,8.0,,,3.0,1.0,,,1.0,10.0,7.0,10.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,9.0,1.0,,,8.0,9.0,7,1.0,10,1
2005-01-14,76845,,11,3,2830.0,81731510,SEPR,SEPRACOR INC,SEPR,325412.0,Q,A,R,11117,3,2830.0,81731510.0,,,28.0,283.0,,,,,,,58.85,-0.002204,103376.0,1.0,58.86,6083677.6,SEPR,3.0,,6.0,,,10,1.0,1.0,3.0,7.0,1.0,1.0,10.0,,1.0,,10.0,8.0,9.0,10.0,1.0,2.0,1.0,,1.0,8.0,,,3.0,1.0,,,1.0,10.0,7.0,10.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,9.0,1.0,,,8.0,9.0,7,1.0,10,1
