,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2005-01-03,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,17.23,-0.042246,14408.0,1.0,17.89,248249.84,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
2005-01-04,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,16.8,-0.024956,14408.0,1.0,17.09,242054.4,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
2005-01-05,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,16.9,0.005952,14408.0,1.0,16.7,243495.2,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
2005-01-06,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,16.89,-0.000592,14408.0,1.0,16.9,243351.12,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
2005-01-07,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,16.91,0.001184,14408.0,1.0,16.89,243639.28,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
2005-01-10,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,16.72,-0.011236,14408.0,1.0,16.79,240901.76,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
2005-01-11,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,15.94,-0.046651,14408.0,1.0,16.62,229663.52,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
2005-01-12,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,16.02,0.005019,14408.0,1.0,15.93,230816.16,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
2005-01-13,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,16.29,0.016854,14408.0,1.0,15.92,234706.32,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
2005-01-14,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,16.35,0.003683,14408.0,1.0,16.39,235570.8,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
2005-01-18,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,16.37,0.001223,14408.0,1.0,16.38,235858.96,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
2005-01-19,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,16.29,-0.004887,14408.0,1.0,16.39,234706.32,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
2005-01-20,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,16.07,-0.013505,14408.0,1.0,16.19,231536.56,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
2005-01-21,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,15.75,-0.019913,14408.0,1.0,16.0,226926.0,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
2005-01-24,67002,,11,1,3479.0,57667410,MSC,MATERIAL SCIENCES CORP,MSC,332812.0,N,A,R,21164,3,3470.0,57667410.0,,,34.0,347.0,,,,,,,15.96,0.013333,14408.0,1.0,15.75,229951.68,MSC,10.0,9.0,5.0,9.0,9.0,10,10.0,10.0,6.0,10.0,10.0,7.0,4.0,,2.0,8.0,9.0,6.0,9.0,4.0,6.0,6.0,3.0,2.0,8.0,7.0,,,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,,3.0,3.0,5.0,3.0,3.0,9.0,10.0,6.0,,,10.0,3.0,5,7.0,10,1
