,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2005-01-03,11082,,11,3,5190.0,56660510,MRGO,MARGO CARIBE INC,MRGO,111422.0,Q,A,R,8949,3,5190.0,56660510.0,,,51.0,519.0,,,,,,,8.25,-0.024592,2223.0,1.25,8.45,18339.75,MRGO,10.0,3.0,5.0,5.0,3.0,1,1.0,1.0,2.0,9.0,9.0,5.0,5.0,,1.0,,3.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0,4.0,1.0,,,1.0,5.0,1.0,1.0,10.0,1.0,9.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,10.0,9.0,1.0,,,10.0,1.0,6,10.0,10,1
2005-01-04,11082,,11,3,5190.0,56660510,MRGO,MARGO CARIBE INC,MRGO,111422.0,Q,A,R,8949,3,5190.0,56660510.0,,,51.0,519.0,,,,,,,8.228,-0.002667,2223.0,1.25,8.228,18290.844,MRGO,10.0,3.0,5.0,5.0,3.0,1,1.0,1.0,2.0,9.0,9.0,5.0,5.0,,1.0,,3.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0,4.0,1.0,,,1.0,5.0,1.0,1.0,10.0,1.0,9.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,10.0,9.0,1.0,,,10.0,1.0,6,10.0,10,1
2005-01-05,11082,,11,3,5190.0,56660510,MRGO,MARGO CARIBE INC,MRGO,111422.0,Q,A,R,8949,3,5190.0,56660510.0,,,51.0,519.0,,,,,,,8.1,-0.015557,2223.0,1.25,8.17,18006.3,MRGO,10.0,3.0,5.0,5.0,3.0,1,1.0,1.0,2.0,9.0,9.0,5.0,5.0,,1.0,,3.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0,4.0,1.0,,,1.0,5.0,1.0,1.0,10.0,1.0,9.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,10.0,9.0,1.0,,,10.0,1.0,6,10.0,10,1
2005-01-06,11082,,11,3,5190.0,56660510,MRGO,MARGO CARIBE INC,MRGO,111422.0,Q,A,R,8949,3,5190.0,56660510.0,,,51.0,519.0,,,,,,,8.04,-0.007407,2223.0,1.25,8.121,17872.92,MRGO,10.0,3.0,5.0,5.0,3.0,1,1.0,1.0,2.0,9.0,9.0,5.0,5.0,,1.0,,3.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0,4.0,1.0,,,1.0,5.0,1.0,1.0,10.0,1.0,9.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,10.0,9.0,1.0,,,10.0,1.0,6,10.0,10,1
2005-01-07,11082,,11,3,5190.0,56660510,MRGO,MARGO CARIBE INC,MRGO,111422.0,Q,A,R,8949,3,5190.0,56660510.0,,,51.0,519.0,,,,,,,8.081,0.0051,2223.0,1.25,8.04,17964.063,MRGO,10.0,3.0,5.0,5.0,3.0,1,1.0,1.0,2.0,9.0,9.0,5.0,5.0,,1.0,,3.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0,4.0,1.0,,,1.0,5.0,1.0,1.0,10.0,1.0,9.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,10.0,9.0,1.0,,,10.0,1.0,6,10.0,10,1
2005-01-10,11082,,11,3,5190.0,56660510,MRGO,MARGO CARIBE INC,MRGO,111422.0,Q,A,R,8949,3,5190.0,56660510.0,,,51.0,519.0,,,,,,,7.621,-0.056924,2223.0,1.25,7.6,16941.483,MRGO,10.0,3.0,5.0,5.0,3.0,1,1.0,1.0,2.0,9.0,9.0,5.0,5.0,,1.0,,3.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0,4.0,1.0,,,1.0,5.0,1.0,1.0,10.0,1.0,9.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,10.0,9.0,1.0,,,10.0,1.0,6,10.0,10,1
2005-01-11,11082,,11,3,5190.0,56660510,MRGO,MARGO CARIBE INC,MRGO,111422.0,Q,A,R,8949,3,5190.0,56660510.0,,,51.0,519.0,,,,,,,6.27,-0.177273,2223.0,1.25,7.63,13938.21,MRGO,10.0,3.0,5.0,5.0,3.0,1,1.0,1.0,2.0,9.0,9.0,5.0,5.0,,1.0,,3.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0,4.0,1.0,,,1.0,5.0,1.0,1.0,10.0,1.0,9.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,10.0,9.0,1.0,,,10.0,1.0,6,10.0,10,1
2005-01-12,11082,,11,3,5190.0,56660510,MRGO,MARGO CARIBE INC,MRGO,111422.0,Q,A,R,8949,3,5190.0,56660510.0,,,51.0,519.0,,,,,,,6.33,0.009569,2223.0,1.25,7.72,14071.59,MRGO,10.0,3.0,5.0,5.0,3.0,1,1.0,1.0,2.0,9.0,9.0,5.0,5.0,,1.0,,3.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0,4.0,1.0,,,1.0,5.0,1.0,1.0,10.0,1.0,9.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,10.0,9.0,1.0,,,10.0,1.0,6,10.0,10,1
2005-01-13,11082,,11,3,5190.0,56660510,MRGO,MARGO CARIBE INC,MRGO,111422.0,Q,A,R,8949,3,5190.0,56660510.0,,,51.0,519.0,,,,,,,6.749,0.066193,2223.0,1.25,6.301,15003.027,MRGO,10.0,3.0,5.0,5.0,3.0,1,1.0,1.0,2.0,9.0,9.0,5.0,5.0,,1.0,,3.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0,4.0,1.0,,,1.0,5.0,1.0,1.0,10.0,1.0,9.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,10.0,9.0,1.0,,,10.0,1.0,6,10.0,10,1
2005-01-14,11082,,11,3,5190.0,56660510,MRGO,MARGO CARIBE INC,MRGO,111422.0,Q,A,R,8949,3,5190.0,56660510.0,,,51.0,519.0,,,,,,,6.929,0.026671,2223.0,1.25,6.3,15403.167,MRGO,10.0,3.0,5.0,5.0,3.0,1,1.0,1.0,2.0,9.0,9.0,5.0,5.0,,1.0,,3.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0,4.0,1.0,,,1.0,5.0,1.0,1.0,10.0,1.0,9.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,10.0,9.0,1.0,,,10.0,1.0,6,10.0,10,1
