,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2005-01-03,21055,,11,1,5661.0,37153210,GCO,GENESCO INC,GCO,448210.0,N,A,R,20805,1,5661.0,37153210.0,,,56.0,566.0,,,,,,,30.33,-0.026012,22299.0,1.107285,30.95,676328.67,GCO,9.0,6.0,10.0,6.0,10.0,10,10.0,10.0,7.0,2.0,3.0,10.0,8.0,,10.0,9.0,6.0,1.0,2.0,8.0,4.0,5.0,9.0,9.0,9.0,8.0,,,7.0,5.0,6.0,10.0,2.0,10.0,8.0,7.0,4.0,3.0,,9.0,9.0,8.0,4.0,3.0,3.0,5.0,4.0,,,2.0,6.0,1,2.0,10,1
2005-01-04,21055,,11,1,5661.0,37153210,GCO,GENESCO INC,GCO,448210.0,N,A,R,20805,1,5661.0,37153210.0,,,56.0,566.0,,,,,,,29.22,-0.036597,22299.0,1.107285,30.5,651576.78,GCO,9.0,6.0,10.0,6.0,10.0,10,10.0,10.0,7.0,2.0,3.0,10.0,8.0,,10.0,9.0,6.0,1.0,2.0,8.0,4.0,5.0,9.0,9.0,9.0,8.0,,,7.0,5.0,6.0,10.0,2.0,10.0,8.0,7.0,4.0,3.0,,9.0,9.0,8.0,4.0,3.0,3.0,5.0,4.0,,,2.0,6.0,1,2.0,10,1
2005-01-05,21055,,11,1,5661.0,37153210,GCO,GENESCO INC,GCO,448210.0,N,A,R,20805,1,5661.0,37153210.0,,,56.0,566.0,,,,,,,29.01,-0.007187,22299.0,1.107285,29.22,646893.99,GCO,9.0,6.0,10.0,6.0,10.0,10,10.0,10.0,7.0,2.0,3.0,10.0,8.0,,10.0,9.0,6.0,1.0,2.0,8.0,4.0,5.0,9.0,9.0,9.0,8.0,,,7.0,5.0,6.0,10.0,2.0,10.0,8.0,7.0,4.0,3.0,,9.0,9.0,8.0,4.0,3.0,3.0,5.0,4.0,,,2.0,6.0,1,2.0,10,1
2005-01-06,21055,,11,1,5661.0,37153210,GCO,GENESCO INC,GCO,448210.0,N,A,R,20805,1,5661.0,37153210.0,,,56.0,566.0,,,,,,,29.65,0.022061,22299.0,1.107285,29.01,661165.35,GCO,9.0,6.0,10.0,6.0,10.0,10,10.0,10.0,7.0,2.0,3.0,10.0,8.0,,10.0,9.0,6.0,1.0,2.0,8.0,4.0,5.0,9.0,9.0,9.0,8.0,,,7.0,5.0,6.0,10.0,2.0,10.0,8.0,7.0,4.0,3.0,,9.0,9.0,8.0,4.0,3.0,3.0,5.0,4.0,,,2.0,6.0,1,2.0,10,1
2005-01-07,21055,,11,1,5661.0,37153210,GCO,GENESCO INC,GCO,448210.0,N,A,R,20805,1,5661.0,37153210.0,,,56.0,566.0,,,,,,,28.93,-0.024283,22299.0,1.107285,29.55,645110.07,GCO,9.0,6.0,10.0,6.0,10.0,10,10.0,10.0,7.0,2.0,3.0,10.0,8.0,,10.0,9.0,6.0,1.0,2.0,8.0,4.0,5.0,9.0,9.0,9.0,8.0,,,7.0,5.0,6.0,10.0,2.0,10.0,8.0,7.0,4.0,3.0,,9.0,9.0,8.0,4.0,3.0,3.0,5.0,4.0,,,2.0,6.0,1,2.0,10,1
2005-01-10,21055,,11,1,5661.0,37153210,GCO,GENESCO INC,GCO,448210.0,N,A,R,20805,1,5661.0,37153210.0,,,56.0,566.0,,,,,,,29.0,0.00242,22299.0,1.107285,28.88,646671.0,GCO,9.0,6.0,10.0,6.0,10.0,10,10.0,10.0,7.0,2.0,3.0,10.0,8.0,,10.0,9.0,6.0,1.0,2.0,8.0,4.0,5.0,9.0,9.0,9.0,8.0,,,7.0,5.0,6.0,10.0,2.0,10.0,8.0,7.0,4.0,3.0,,9.0,9.0,8.0,4.0,3.0,3.0,5.0,4.0,,,2.0,6.0,1,2.0,10,1
2005-01-11,21055,,11,1,5661.0,37153210,GCO,GENESCO INC,GCO,448210.0,N,A,R,20805,1,5661.0,37153210.0,,,56.0,566.0,,,,,,,28.95,-0.001724,22299.0,1.107285,28.95,645556.05,GCO,9.0,6.0,10.0,6.0,10.0,10,10.0,10.0,7.0,2.0,3.0,10.0,8.0,,10.0,9.0,6.0,1.0,2.0,8.0,4.0,5.0,9.0,9.0,9.0,8.0,,,7.0,5.0,6.0,10.0,2.0,10.0,8.0,7.0,4.0,3.0,,9.0,9.0,8.0,4.0,3.0,3.0,5.0,4.0,,,2.0,6.0,1,2.0,10,1
2005-01-12,21055,,11,1,5661.0,37153210,GCO,GENESCO INC,GCO,448210.0,N,A,R,20805,1,5661.0,37153210.0,,,56.0,566.0,,,,,,,28.6,-0.01209,22299.0,1.107285,28.8,637751.4,GCO,9.0,6.0,10.0,6.0,10.0,10,10.0,10.0,7.0,2.0,3.0,10.0,8.0,,10.0,9.0,6.0,1.0,2.0,8.0,4.0,5.0,9.0,9.0,9.0,8.0,,,7.0,5.0,6.0,10.0,2.0,10.0,8.0,7.0,4.0,3.0,,9.0,9.0,8.0,4.0,3.0,3.0,5.0,4.0,,,2.0,6.0,1,2.0,10,1
2005-01-13,21055,,11,1,5661.0,37153210,GCO,GENESCO INC,GCO,448210.0,N,A,R,20805,1,5661.0,37153210.0,,,56.0,566.0,,,,,,,29.14,0.018881,22299.0,1.107285,28.9,649792.86,GCO,9.0,6.0,10.0,6.0,10.0,10,10.0,10.0,7.0,2.0,3.0,10.0,8.0,,10.0,9.0,6.0,1.0,2.0,8.0,4.0,5.0,9.0,9.0,9.0,8.0,,,7.0,5.0,6.0,10.0,2.0,10.0,8.0,7.0,4.0,3.0,,9.0,9.0,8.0,4.0,3.0,3.0,5.0,4.0,,,2.0,6.0,1,2.0,10,1
2005-01-14,21055,,11,1,5661.0,37153210,GCO,GENESCO INC,GCO,448210.0,N,A,R,20805,1,5661.0,37153210.0,,,56.0,566.0,,,,,,,29.5,0.012354,22299.0,1.107285,29.0,657820.5,GCO,9.0,6.0,10.0,6.0,10.0,10,10.0,10.0,7.0,2.0,3.0,10.0,8.0,,10.0,9.0,6.0,1.0,2.0,8.0,4.0,5.0,9.0,9.0,9.0,8.0,,,7.0,5.0,6.0,10.0,2.0,10.0,8.0,7.0,4.0,3.0,,9.0,9.0,8.0,4.0,3.0,3.0,5.0,4.0,,,2.0,6.0,1,2.0,10,1
