,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2005-01-03,79734,,11,3,6030.0,76939710,RVSB,RIVERVIEW BANCORP INC,RVSB,522120.0,Q,A,R,12503,3,6030.0,76939710.0,,,60.0,603.0,,,,,,,21.65,-0.031537,4829.0,2.0,22.15,104547.85,RVSB,10.0,,,,,1,10.0,1.0,1.0,,,,,7.0,5.0,4.0,,,,,,9.0,3.0,5.0,2.0,,8.0,,4.0,6.0,,,10.0,4.0,4.0,2.0,,5.0,,5.0,7.0,3.0,4.0,7.0,10.0,9.0,4.0,4.0,4.0,10.0,4.0,7,10.0,10,1
2005-01-04,79734,,11,3,6030.0,76939710,RVSB,RIVERVIEW BANCORP INC,RVSB,522120.0,Q,A,R,12503,3,6030.0,76939710.0,,,60.0,603.0,,,,,,,-21.93,0.012933,4829.0,2.0,,-105899.97,RVSB,10.0,,,,,1,10.0,1.0,1.0,,,,,7.0,5.0,4.0,,,,,,9.0,3.0,5.0,2.0,,8.0,,4.0,6.0,,,10.0,4.0,4.0,2.0,,5.0,,5.0,7.0,3.0,4.0,7.0,10.0,9.0,4.0,4.0,4.0,10.0,4.0,7,10.0,10,1
2005-01-05,79734,,11,3,6030.0,76939710,RVSB,RIVERVIEW BANCORP INC,RVSB,522120.0,Q,A,R,12503,3,6030.0,76939710.0,,,60.0,603.0,,,,,,,21.77,-0.007296,4829.0,2.0,21.65,105127.33,RVSB,10.0,,,,,1,10.0,1.0,1.0,,,,,7.0,5.0,4.0,,,,,,9.0,3.0,5.0,2.0,,8.0,,4.0,6.0,,,10.0,4.0,4.0,2.0,,5.0,,5.0,7.0,3.0,4.0,7.0,10.0,9.0,4.0,4.0,4.0,10.0,4.0,7,10.0,10,1
2005-01-06,79734,,11,3,6030.0,76939710,RVSB,RIVERVIEW BANCORP INC,RVSB,522120.0,Q,A,R,12503,3,6030.0,76939710.0,,,60.0,603.0,,,,,,,21.67,-0.004593,4829.0,2.0,21.587,104644.43,RVSB,10.0,,,,,1,10.0,1.0,1.0,,,,,7.0,5.0,4.0,,,,,,9.0,3.0,5.0,2.0,,8.0,,4.0,6.0,,,10.0,4.0,4.0,2.0,,5.0,,5.0,7.0,3.0,4.0,7.0,10.0,9.0,4.0,4.0,4.0,10.0,4.0,7,10.0,10,1
2005-01-07,79734,,11,3,6030.0,76939710,RVSB,RIVERVIEW BANCORP INC,RVSB,522120.0,Q,A,R,12503,3,6030.0,76939710.0,,,60.0,603.0,,,,,,,21.449,-0.010198,4829.0,2.0,21.9,103577.221,RVSB,10.0,,,,,1,10.0,1.0,1.0,,,,,7.0,5.0,4.0,,,,,,9.0,3.0,5.0,2.0,,8.0,,4.0,6.0,,,10.0,4.0,4.0,2.0,,5.0,,5.0,7.0,3.0,4.0,7.0,10.0,9.0,4.0,4.0,4.0,10.0,4.0,7,10.0,10,1
2005-01-10,79734,,11,3,6030.0,76939710,RVSB,RIVERVIEW BANCORP INC,RVSB,522120.0,Q,A,R,12503,3,6030.0,76939710.0,,,60.0,603.0,,,,,,,22.07,0.028952,4829.0,2.0,22.07,106576.03,RVSB,10.0,,,,,1,10.0,1.0,1.0,,,,,7.0,5.0,4.0,,,,,,9.0,3.0,5.0,2.0,,8.0,,4.0,6.0,,,10.0,4.0,4.0,2.0,,5.0,,5.0,7.0,3.0,4.0,7.0,10.0,9.0,4.0,4.0,4.0,10.0,4.0,7,10.0,10,1
2005-01-11,79734,,11,3,6030.0,76939710,RVSB,RIVERVIEW BANCORP INC,RVSB,522120.0,Q,A,R,12503,3,6030.0,76939710.0,,,60.0,603.0,,,,,,,21.404,-0.030177,4829.0,2.0,21.4,103359.916,RVSB,10.0,,,,,1,10.0,1.0,1.0,,,,,7.0,5.0,4.0,,,,,,9.0,3.0,5.0,2.0,,8.0,,4.0,6.0,,,10.0,4.0,4.0,2.0,,5.0,,5.0,7.0,3.0,4.0,7.0,10.0,9.0,4.0,4.0,4.0,10.0,4.0,7,10.0,10,1
2005-01-12,79734,,11,3,6030.0,76939710,RVSB,RIVERVIEW BANCORP INC,RVSB,522120.0,Q,A,R,12503,3,6030.0,76939710.0,,,60.0,603.0,,,,,,,22.48,0.050271,4829.0,2.0,22.48,108555.92,RVSB,10.0,,,,,1,10.0,1.0,1.0,,,,,7.0,5.0,4.0,,,,,,9.0,3.0,5.0,2.0,,8.0,,4.0,6.0,,,10.0,4.0,4.0,2.0,,5.0,,5.0,7.0,3.0,4.0,7.0,10.0,9.0,4.0,4.0,4.0,10.0,4.0,7,10.0,10,1
2005-01-13,79734,,11,3,6030.0,76939710,RVSB,RIVERVIEW BANCORP INC,RVSB,522120.0,Q,A,R,12503,3,6030.0,76939710.0,,,60.0,603.0,,,,,,,21.28,-0.053381,4829.0,2.0,21.5,102761.12,RVSB,10.0,,,,,1,10.0,1.0,1.0,,,,,7.0,5.0,4.0,,,,,,9.0,3.0,5.0,2.0,,8.0,,4.0,6.0,,,10.0,4.0,4.0,2.0,,5.0,,5.0,7.0,3.0,4.0,7.0,10.0,9.0,4.0,4.0,4.0,10.0,4.0,7,10.0,10,1
2005-01-14,79734,,11,3,6030.0,76939710,RVSB,RIVERVIEW BANCORP INC,RVSB,522120.0,Q,A,R,12503,3,6030.0,76939710.0,,,60.0,603.0,,,,,,,21.67,0.018327,4829.0,2.0,21.67,104644.43,RVSB,10.0,,,,,1,10.0,1.0,1.0,,,,,7.0,5.0,4.0,,,,,,9.0,3.0,5.0,2.0,,8.0,,4.0,6.0,,,10.0,4.0,4.0,2.0,,5.0,,5.0,7.0,3.0,4.0,7.0,10.0,9.0,4.0,4.0,4.0,10.0,4.0,7,10.0,10,1
