,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2005-01-03,88451,,11,3,8731.0,49251510,KERX,KERYX BIOPHARMACEUTICALS INC,KERX,541710.0,Q,A,R,37943,3,8731.0,49251510.0,,,87.0,873.0,,,,,,,11.22,-0.030251,31317.0,1.0,11.57,351376.74,KERX,9.0,2.0,,2.0,,1,10.0,10.0,1.0,2.0,4.0,,,,1.0,,10.0,10.0,6.0,10.0,,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,,3.0,10.0,1.0,,1.0,1.0,,1.0,1.0,1.0,10.0,1.0,5.0,,10.0,,,,2.0,9,3.0,10,1
2005-01-04,88451,,11,3,8731.0,49251510,KERX,KERYX BIOPHARMACEUTICALS INC,KERX,541710.0,Q,A,R,37943,3,8731.0,49251510.0,,,87.0,873.0,,,,,,,11.23,0.000891,31317.0,1.0,11.13,351689.91,KERX,9.0,2.0,,2.0,,1,10.0,10.0,1.0,2.0,4.0,,,,1.0,,10.0,10.0,6.0,10.0,,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,,3.0,10.0,1.0,,1.0,1.0,,1.0,1.0,1.0,10.0,1.0,5.0,,10.0,,,,2.0,9,3.0,10,1
2005-01-05,88451,,11,3,8731.0,49251510,KERX,KERYX BIOPHARMACEUTICALS INC,KERX,541710.0,Q,A,R,37943,3,8731.0,49251510.0,,,87.0,873.0,,,,,,,14.18,0.262689,31317.0,1.0,12.65,444075.06,KERX,9.0,2.0,,2.0,,1,10.0,10.0,1.0,2.0,4.0,,,,1.0,,10.0,10.0,6.0,10.0,,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,,3.0,10.0,1.0,,1.0,1.0,,1.0,1.0,1.0,10.0,1.0,5.0,,10.0,,,,2.0,9,3.0,10,1
2005-01-06,88451,,11,3,8731.0,49251510,KERX,KERYX BIOPHARMACEUTICALS INC,KERX,541710.0,Q,A,R,37943,3,8731.0,49251510.0,,,87.0,873.0,,,,,,,13.92,-0.018336,31317.0,1.0,14.16,435932.64,KERX,9.0,2.0,,2.0,,1,10.0,10.0,1.0,2.0,4.0,,,,1.0,,10.0,10.0,6.0,10.0,,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,,3.0,10.0,1.0,,1.0,1.0,,1.0,1.0,1.0,10.0,1.0,5.0,,10.0,,,,2.0,9,3.0,10,1
2005-01-07,88451,,11,3,8731.0,49251510,KERX,KERYX BIOPHARMACEUTICALS INC,KERX,541710.0,Q,A,R,37943,3,8731.0,49251510.0,,,87.0,873.0,,,,,,,14.89,0.069684,31317.0,1.0,14.11,466310.13,KERX,9.0,2.0,,2.0,,1,10.0,10.0,1.0,2.0,4.0,,,,1.0,,10.0,10.0,6.0,10.0,,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,,3.0,10.0,1.0,,1.0,1.0,,1.0,1.0,1.0,10.0,1.0,5.0,,10.0,,,,2.0,9,3.0,10,1
2005-01-10,88451,,11,3,8731.0,49251510,KERX,KERYX BIOPHARMACEUTICALS INC,KERX,541710.0,Q,A,R,37943,3,8731.0,49251510.0,,,87.0,873.0,,,,,,,14.75,-0.009402,31317.0,1.0,15.12,461925.75,KERX,9.0,2.0,,2.0,,1,10.0,10.0,1.0,2.0,4.0,,,,1.0,,10.0,10.0,6.0,10.0,,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,,3.0,10.0,1.0,,1.0,1.0,,1.0,1.0,1.0,10.0,1.0,5.0,,10.0,,,,2.0,9,3.0,10,1
2005-01-11,88451,,11,3,8731.0,49251510,KERX,KERYX BIOPHARMACEUTICALS INC,KERX,541710.0,Q,A,R,37943,3,8731.0,49251510.0,,,87.0,873.0,,,,,,,14.33,-0.028475,31317.0,1.0,14.86,448772.61,KERX,9.0,2.0,,2.0,,1,10.0,10.0,1.0,2.0,4.0,,,,1.0,,10.0,10.0,6.0,10.0,,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,,3.0,10.0,1.0,,1.0,1.0,,1.0,1.0,1.0,10.0,1.0,5.0,,10.0,,,,2.0,9,3.0,10,1
2005-01-12,88451,,11,3,8731.0,49251510,KERX,KERYX BIOPHARMACEUTICALS INC,KERX,541710.0,Q,A,R,37943,3,8731.0,49251510.0,,,87.0,873.0,,,,,,,14.29,-0.002791,31317.0,1.0,14.53,447519.93,KERX,9.0,2.0,,2.0,,1,10.0,10.0,1.0,2.0,4.0,,,,1.0,,10.0,10.0,6.0,10.0,,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,,3.0,10.0,1.0,,1.0,1.0,,1.0,1.0,1.0,10.0,1.0,5.0,,10.0,,,,2.0,9,3.0,10,1
2005-01-13,88451,,11,3,8731.0,49251510,KERX,KERYX BIOPHARMACEUTICALS INC,KERX,541710.0,Q,A,R,37943,3,8731.0,49251510.0,,,87.0,873.0,,,,,,,15.05,0.053184,31317.0,1.0,14.35,471320.85,KERX,9.0,2.0,,2.0,,1,10.0,10.0,1.0,2.0,4.0,,,,1.0,,10.0,10.0,6.0,10.0,,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,,3.0,10.0,1.0,,1.0,1.0,,1.0,1.0,1.0,10.0,1.0,5.0,,10.0,,,,2.0,9,3.0,10,1
2005-01-14,88451,,11,3,8731.0,49251510,KERX,KERYX BIOPHARMACEUTICALS INC,KERX,541710.0,Q,A,R,37943,3,8731.0,49251510.0,,,87.0,873.0,,,,,,,15.0,-0.003322,31317.0,1.0,15.09,469755.0,KERX,9.0,2.0,,2.0,,1,10.0,10.0,1.0,2.0,4.0,,,,1.0,,10.0,10.0,6.0,10.0,,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,,3.0,10.0,1.0,,1.0,1.0,,1.0,1.0,1.0,10.0,1.0,5.0,,10.0,,,,2.0,9,3.0,10,1
