,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2018-04-12,17382,20201231.0,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,20.0,,11000.0,1.0,20.0,220000.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2018-04-13,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,20.6,0.03,11000.0,1.0,19.8,226600.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2018-04-16,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,20.6,0.0,11000.0,1.0,20.88,226600.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2018-04-17,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,19.55,-0.050971,11000.0,1.0,20.55,215050.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2018-04-18,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,19.56,0.000512,11000.0,1.0,19.61,215160.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2018-04-19,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,19.65,0.004601,11000.0,1.0,19.57,216150.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2018-04-20,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,19.72,0.003562,11000.0,1.0,19.55,216920.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2018-04-23,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,20.0,0.014199,11000.0,1.0,19.83,220000.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2018-04-24,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,19.7,-0.015,11000.0,1.0,20.12,216700.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2018-04-25,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,19.61,-0.004569,11000.0,1.0,19.72,215710.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2018-04-26,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,20.28,0.034166,11000.0,1.0,19.68,223080.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2018-04-27,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,19.61,-0.033037,11000.0,1.0,19.87,215710.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2018-04-30,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,19.26,-0.017848,11000.0,1.0,19.55,211860.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,,10,10
2018-05-01,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,19.67,0.021288,11000.0,1.0,19.37,216370.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,6.0,,,,7.0,7.0,8.0,,3.0,10,,10,10
2018-05-02,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,19.59,-0.004067,11000.0,1.0,19.92,215490.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,6.0,,,,7.0,7.0,8.0,,3.0,10,,10,10
2018-05-03,17382,,11,1,7372.0,98983V10,ZUO,ZUORA INC,ZUO,511210.0,N,A,R,56314,1,7372.0,,,,73.0,737.0,,,,,,,19.66,0.003573,11000.0,1.0,19.59,216260.0,ZUO,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,6.0,,,,7.0,7.0,8.0,,3.0,10,,10,10
