,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2005-01-03,57904,,11,1,6321.0,00105510,AFL,AFLAC INC,AFL,524114.0,N,A,R,92,1,6321.0,105510.0,,,63.0,632.0,,,,,,,39.71,-0.003263,505984.0,2.0,40.14,20092624.64,AFL,1.0,,,,,1,10.0,10.0,9.0,,,,,3.0,5.0,2.0,,,,,,8.0,4.0,5.0,4.0,7.0,9.0,,2.0,4.0,,,9.0,4.0,7.0,5.0,,9.0,,8.0,6.0,4.0,3.0,7.0,6.0,4.0,4.0,4.0,3.0,6.0,7.0,4,7.0,10,1
2005-01-04,57904,,11,1,6321.0,00105510,AFL,AFLAC INC,AFL,524114.0,N,A,R,92,1,6321.0,105510.0,,,63.0,632.0,,,,,,,39.67,-0.001007,505984.0,2.0,39.85,20072385.28,AFL,1.0,,,,,1,10.0,10.0,9.0,,,,,3.0,5.0,2.0,,,,,,8.0,4.0,5.0,4.0,7.0,9.0,,2.0,4.0,,,9.0,4.0,7.0,5.0,,9.0,,8.0,6.0,4.0,3.0,7.0,6.0,4.0,4.0,4.0,3.0,6.0,7.0,4,7.0,10,1
2005-01-05,57904,,11,1,6321.0,00105510,AFL,AFLAC INC,AFL,524114.0,N,A,R,92,1,6321.0,105510.0,,,63.0,632.0,,,,,,,39.38,-0.00731,505984.0,2.0,39.6,19925649.92,AFL,1.0,,,,,1,10.0,10.0,9.0,,,,,3.0,5.0,2.0,,,,,,8.0,4.0,5.0,4.0,7.0,9.0,,2.0,4.0,,,9.0,4.0,7.0,5.0,,9.0,,8.0,6.0,4.0,3.0,7.0,6.0,4.0,4.0,4.0,3.0,6.0,7.0,4,7.0,10,1
2005-01-06,57904,,11,1,6321.0,00105510,AFL,AFLAC INC,AFL,524114.0,N,A,R,92,1,6321.0,105510.0,,,63.0,632.0,,,,,,,39.99,0.01549,505984.0,2.0,39.7,20234300.16,AFL,1.0,,,,,1,10.0,10.0,9.0,,,,,3.0,5.0,2.0,,,,,,8.0,4.0,5.0,4.0,7.0,9.0,,2.0,4.0,,,9.0,4.0,7.0,5.0,,9.0,,8.0,6.0,4.0,3.0,7.0,6.0,4.0,4.0,4.0,3.0,6.0,7.0,4,7.0,10,1
2005-01-07,57904,,11,1,6321.0,00105510,AFL,AFLAC INC,AFL,524114.0,N,A,R,92,1,6321.0,105510.0,,,63.0,632.0,,,,,,,39.69,-0.007502,505984.0,2.0,40.09,20082504.96,AFL,1.0,,,,,1,10.0,10.0,9.0,,,,,3.0,5.0,2.0,,,,,,8.0,4.0,5.0,4.0,7.0,9.0,,2.0,4.0,,,9.0,4.0,7.0,5.0,,9.0,,8.0,6.0,4.0,3.0,7.0,6.0,4.0,4.0,4.0,3.0,6.0,7.0,4,7.0,10,1
2005-01-10,57904,,11,1,6321.0,00105510,AFL,AFLAC INC,AFL,524114.0,N,A,R,92,1,6321.0,105510.0,,,63.0,632.0,,,,,,,40.16,0.011842,505984.0,2.0,39.91,20320317.44,AFL,1.0,,,,,1,10.0,10.0,9.0,,,,,3.0,5.0,2.0,,,,,,8.0,4.0,5.0,4.0,7.0,9.0,,2.0,4.0,,,9.0,4.0,7.0,5.0,,9.0,,8.0,6.0,4.0,3.0,7.0,6.0,4.0,4.0,4.0,3.0,6.0,7.0,4,7.0,10,1
2005-01-11,57904,,11,1,6321.0,00105510,AFL,AFLAC INC,AFL,524114.0,N,A,R,92,1,6321.0,105510.0,,,63.0,632.0,,,,,,,39.69,-0.011703,505984.0,2.0,40.05,20082504.96,AFL,1.0,,,,,1,10.0,10.0,9.0,,,,,3.0,5.0,2.0,,,,,,8.0,4.0,5.0,4.0,7.0,9.0,,2.0,4.0,,,9.0,4.0,7.0,5.0,,9.0,,8.0,6.0,4.0,3.0,7.0,6.0,4.0,4.0,4.0,3.0,6.0,7.0,4,7.0,10,1
2005-01-12,57904,,11,1,6321.0,00105510,AFL,AFLAC INC,AFL,524114.0,N,A,R,92,1,6321.0,105510.0,,,63.0,632.0,,,,,,,39.91,0.005543,505984.0,2.0,39.61,20193821.44,AFL,1.0,,,,,1,10.0,10.0,9.0,,,,,3.0,5.0,2.0,,,,,,8.0,4.0,5.0,4.0,7.0,9.0,,2.0,4.0,,,9.0,4.0,7.0,5.0,,9.0,,8.0,6.0,4.0,3.0,7.0,6.0,4.0,4.0,4.0,3.0,6.0,7.0,4,7.0,10,1
2005-01-13,57904,,11,1,6321.0,00105510,AFL,AFLAC INC,AFL,524114.0,N,A,R,92,1,6321.0,105510.0,,,63.0,632.0,,,,,,,39.72,-0.004761,505984.0,2.0,39.77,20097684.48,AFL,1.0,,,,,1,10.0,10.0,9.0,,,,,3.0,5.0,2.0,,,,,,8.0,4.0,5.0,4.0,7.0,9.0,,2.0,4.0,,,9.0,4.0,7.0,5.0,,9.0,,8.0,6.0,4.0,3.0,7.0,6.0,4.0,4.0,4.0,3.0,6.0,7.0,4,7.0,10,1
2005-01-14,57904,,11,1,6321.0,00105510,AFL,AFLAC INC,AFL,524114.0,N,A,R,92,1,6321.0,105510.0,,,63.0,632.0,,,,,,,39.65,-0.001762,505984.0,2.0,39.66,20062265.6,AFL,1.0,,,,,1,10.0,10.0,9.0,,,,,3.0,5.0,2.0,,,,,,8.0,4.0,5.0,4.0,7.0,9.0,,2.0,4.0,,,9.0,4.0,7.0,5.0,,9.0,,8.0,6.0,4.0,3.0,7.0,6.0,4.0,4.0,4.0,3.0,6.0,7.0,4,7.0,10,1
