,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2005-01-03,87218,,11,3,6710.0,91528W10,UNIZ,UNIZAN FINANCIAL CORP,UNIZ,522110.0,Q,A,R,33717,3,6710.0,,,,67.0,671.0,,,,,,,26.38,0.001138,22087.0,1.0,26.98,582655.06,UNIZ,8.0,,,,,1,10.0,1.0,6.0,,,,,8.0,6.0,3.0,,,,,,10.0,3.0,4.0,2.0,,,,3.0,7.0,,,8.0,8.0,4.0,4.0,,4.0,1.0,3.0,2.0,2.0,6.0,5.0,9.0,9.0,7.0,,,1.0,5.0,9,9.0,10,1
2005-01-04,87218,,11,3,6710.0,91528W10,UNIZ,UNIZAN FINANCIAL CORP,UNIZ,522110.0,Q,A,R,33717,3,6710.0,,,,67.0,671.0,,,,,,,26.22,-0.006065,22087.0,1.0,26.43,579121.14,UNIZ,8.0,,,,,1,10.0,1.0,6.0,,,,,8.0,6.0,3.0,,,,,,10.0,3.0,4.0,2.0,,,,3.0,7.0,,,8.0,8.0,4.0,4.0,,4.0,1.0,3.0,2.0,2.0,6.0,5.0,9.0,9.0,7.0,,,1.0,5.0,9,9.0,10,1
2005-01-05,87218,,11,3,6710.0,91528W10,UNIZ,UNIZAN FINANCIAL CORP,UNIZ,522110.0,Q,A,R,33717,3,6710.0,,,,67.0,671.0,,,,,,,25.76,-0.017544,22087.0,1.0,25.85,568961.12,UNIZ,8.0,,,,,1,10.0,1.0,6.0,,,,,8.0,6.0,3.0,,,,,,10.0,3.0,4.0,2.0,,,,3.0,7.0,,,8.0,8.0,4.0,4.0,,4.0,1.0,3.0,2.0,2.0,6.0,5.0,9.0,9.0,7.0,,,1.0,5.0,9,9.0,10,1
2005-01-06,87218,,11,3,6710.0,91528W10,UNIZ,UNIZAN FINANCIAL CORP,UNIZ,522110.0,Q,A,R,33717,3,6710.0,,,,67.0,671.0,,,,,,,25.87,0.00427,22087.0,1.0,25.71,571390.69,UNIZ,8.0,,,,,1,10.0,1.0,6.0,,,,,8.0,6.0,3.0,,,,,,10.0,3.0,4.0,2.0,,,,3.0,7.0,,,8.0,8.0,4.0,4.0,,4.0,1.0,3.0,2.0,2.0,6.0,5.0,9.0,9.0,7.0,,,1.0,5.0,9,9.0,10,1
2005-01-07,87218,,11,3,6710.0,91528W10,UNIZ,UNIZAN FINANCIAL CORP,UNIZ,522110.0,Q,A,R,33717,3,6710.0,,,,67.0,671.0,,,,,,,25.5,-0.014302,22087.0,1.0,26.11,563218.5,UNIZ,8.0,,,,,1,10.0,1.0,6.0,,,,,8.0,6.0,3.0,,,,,,10.0,3.0,4.0,2.0,,,,3.0,7.0,,,8.0,8.0,4.0,4.0,,4.0,1.0,3.0,2.0,2.0,6.0,5.0,9.0,9.0,7.0,,,1.0,5.0,9,9.0,10,1
2005-01-10,87218,,11,3,6710.0,91528W10,UNIZ,UNIZAN FINANCIAL CORP,UNIZ,522110.0,Q,A,R,33717,3,6710.0,,,,67.0,671.0,,,,,,,25.63,0.005098,22087.0,1.0,25.41,566089.81,UNIZ,8.0,,,,,1,10.0,1.0,6.0,,,,,8.0,6.0,3.0,,,,,,10.0,3.0,4.0,2.0,,,,3.0,7.0,,,8.0,8.0,4.0,4.0,,4.0,1.0,3.0,2.0,2.0,6.0,5.0,9.0,9.0,7.0,,,1.0,5.0,9,9.0,10,1
2005-01-11,87218,,11,3,6710.0,91528W10,UNIZ,UNIZAN FINANCIAL CORP,UNIZ,522110.0,Q,A,R,33717,3,6710.0,,,,67.0,671.0,,,,,,,25.6,-0.00117,22087.0,1.0,25.54,565427.2,UNIZ,8.0,,,,,1,10.0,1.0,6.0,,,,,8.0,6.0,3.0,,,,,,10.0,3.0,4.0,2.0,,,,3.0,7.0,,,8.0,8.0,4.0,4.0,,4.0,1.0,3.0,2.0,2.0,6.0,5.0,9.0,9.0,7.0,,,1.0,5.0,9,9.0,10,1
2005-01-12,87218,,11,3,6710.0,91528W10,UNIZ,UNIZAN FINANCIAL CORP,UNIZ,522110.0,Q,A,R,33717,3,6710.0,,,,67.0,671.0,,,,,,,25.51,-0.003516,22087.0,1.0,25.61,563439.37,UNIZ,8.0,,,,,1,10.0,1.0,6.0,,,,,8.0,6.0,3.0,,,,,,10.0,3.0,4.0,2.0,,,,3.0,7.0,,,8.0,8.0,4.0,4.0,,4.0,1.0,3.0,2.0,2.0,6.0,5.0,9.0,9.0,7.0,,,1.0,5.0,9,9.0,10,1
2005-01-13,87218,,11,3,6710.0,91528W10,UNIZ,UNIZAN FINANCIAL CORP,UNIZ,522110.0,Q,A,R,33717,3,6710.0,,,,67.0,671.0,,,,,,,25.03,-0.018816,22087.0,1.0,25.51,552837.61,UNIZ,8.0,,,,,1,10.0,1.0,6.0,,,,,8.0,6.0,3.0,,,,,,10.0,3.0,4.0,2.0,,,,3.0,7.0,,,8.0,8.0,4.0,4.0,,4.0,1.0,3.0,2.0,2.0,6.0,5.0,9.0,9.0,7.0,,,1.0,5.0,9,9.0,10,1
2005-01-14,87218,,11,3,6710.0,91528W10,UNIZ,UNIZAN FINANCIAL CORP,UNIZ,522110.0,Q,A,R,33717,3,6710.0,,,,67.0,671.0,,,,,,,25.01,-0.000799,22087.0,1.0,25.18,552395.87,UNIZ,8.0,,,,,1,10.0,1.0,6.0,,,,,8.0,6.0,3.0,,,,,,10.0,3.0,4.0,2.0,,,,3.0,7.0,,,8.0,8.0,4.0,4.0,,4.0,1.0,3.0,2.0,2.0,6.0,5.0,9.0,9.0,7.0,,,1.0,5.0,9,9.0,10,1
