,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2005-01-03,89849,,11,1,2711.0,48113010,JRN,JOURNAL COMMUNICATIONS INC,JRN,511110.0,N,A,R,44393,1,2711.0,48113010.0,,,27.0,271.0,,,,,,,17.8,-0.014942,27013.0,1.0,18.22,480831.4,JRN,9.0,10.0,9.0,,10.0,1,1.0,10.0,,,,6.0,8.0,,10.0,10.0,,,6.0,,,7.0,9.0,7.0,9.0,,,,2.0,3.0,6.0,9.0,9.0,3.0,,,10.0,1.0,,6.0,10.0,9.0,5.0,7.0,,,5.0,4.0,2.0,,3.0,10,7.0,10,10
2005-01-04,89849,,11,1,2711.0,48113010,JRN,JOURNAL COMMUNICATIONS INC,JRN,511110.0,N,A,R,44393,1,2711.0,48113010.0,,,27.0,271.0,,,,,,,17.71,-0.005056,27013.0,1.0,17.8,478400.23,JRN,9.0,10.0,9.0,,10.0,1,1.0,10.0,,,,6.0,8.0,,10.0,10.0,,,6.0,,,7.0,9.0,7.0,9.0,,,,2.0,3.0,6.0,9.0,9.0,3.0,,,10.0,1.0,,6.0,10.0,9.0,5.0,7.0,,,5.0,4.0,2.0,,3.0,10,7.0,10,10
2005-01-05,89849,,11,1,2711.0,48113010,JRN,JOURNAL COMMUNICATIONS INC,JRN,511110.0,N,A,R,44393,1,2711.0,48113010.0,,,27.0,271.0,,,,,,,17.71,0.0,27013.0,1.0,17.68,478400.23,JRN,9.0,10.0,9.0,,10.0,1,1.0,10.0,,,,6.0,8.0,,10.0,10.0,,,6.0,,,7.0,9.0,7.0,9.0,,,,2.0,3.0,6.0,9.0,9.0,3.0,,,10.0,1.0,,6.0,10.0,9.0,5.0,7.0,,,5.0,4.0,2.0,,3.0,10,7.0,10,10
2005-01-06,89849,,11,1,2711.0,48113010,JRN,JOURNAL COMMUNICATIONS INC,JRN,511110.0,N,A,R,44393,1,2711.0,48113010.0,,,27.0,271.0,,,,,,,17.7,-0.000565,27013.0,1.0,17.71,478130.1,JRN,9.0,10.0,9.0,,10.0,1,1.0,10.0,,,,6.0,8.0,,10.0,10.0,,,6.0,,,7.0,9.0,7.0,9.0,,,,2.0,3.0,6.0,9.0,9.0,3.0,,,10.0,1.0,,6.0,10.0,9.0,5.0,7.0,,,5.0,4.0,2.0,,3.0,10,7.0,10,10
2005-01-07,89849,,11,1,2711.0,48113010,JRN,JOURNAL COMMUNICATIONS INC,JRN,511110.0,N,A,R,44393,1,2711.0,48113010.0,,,27.0,271.0,,,,,,,17.51,-0.010734,27013.0,1.0,17.58,472997.63,JRN,9.0,10.0,9.0,,10.0,1,1.0,10.0,,,,6.0,8.0,,10.0,10.0,,,6.0,,,7.0,9.0,7.0,9.0,,,,2.0,3.0,6.0,9.0,9.0,3.0,,,10.0,1.0,,6.0,10.0,9.0,5.0,7.0,,,5.0,4.0,2.0,,3.0,10,7.0,10,10
2005-01-10,89849,,11,1,2711.0,48113010,JRN,JOURNAL COMMUNICATIONS INC,JRN,511110.0,N,A,R,44393,1,2711.0,48113010.0,,,27.0,271.0,,,,,,,17.46,-0.002856,27013.0,1.0,17.5,471646.98,JRN,9.0,10.0,9.0,,10.0,1,1.0,10.0,,,,6.0,8.0,,10.0,10.0,,,6.0,,,7.0,9.0,7.0,9.0,,,,2.0,3.0,6.0,9.0,9.0,3.0,,,10.0,1.0,,6.0,10.0,9.0,5.0,7.0,,,5.0,4.0,2.0,,3.0,10,7.0,10,10
2005-01-11,89849,,11,1,2711.0,48113010,JRN,JOURNAL COMMUNICATIONS INC,JRN,511110.0,N,A,R,44393,1,2711.0,48113010.0,,,27.0,271.0,,,,,,,17.21,-0.014318,27013.0,1.0,17.46,464893.73,JRN,9.0,10.0,9.0,,10.0,1,1.0,10.0,,,,6.0,8.0,,10.0,10.0,,,6.0,,,7.0,9.0,7.0,9.0,,,,2.0,3.0,6.0,9.0,9.0,3.0,,,10.0,1.0,,6.0,10.0,9.0,5.0,7.0,,,5.0,4.0,2.0,,3.0,10,7.0,10,10
2005-01-12,89849,,11,1,2711.0,48113010,JRN,JOURNAL COMMUNICATIONS INC,JRN,511110.0,N,A,R,44393,1,2711.0,48113010.0,,,27.0,271.0,,,,,,,17.63,0.024404,27013.0,1.0,17.26,476239.19,JRN,9.0,10.0,9.0,,10.0,1,1.0,10.0,,,,6.0,8.0,,10.0,10.0,,,6.0,,,7.0,9.0,7.0,9.0,,,,2.0,3.0,6.0,9.0,9.0,3.0,,,10.0,1.0,,6.0,10.0,9.0,5.0,7.0,,,5.0,4.0,2.0,,3.0,10,7.0,10,10
2005-01-13,89849,,11,1,2711.0,48113010,JRN,JOURNAL COMMUNICATIONS INC,JRN,511110.0,N,A,R,44393,1,2711.0,48113010.0,,,27.0,271.0,,,,,,,17.1,-0.030062,27013.0,1.0,17.63,461922.3,JRN,9.0,10.0,9.0,,10.0,1,1.0,10.0,,,,6.0,8.0,,10.0,10.0,,,6.0,,,7.0,9.0,7.0,9.0,,,,2.0,3.0,6.0,9.0,9.0,3.0,,,10.0,1.0,,6.0,10.0,9.0,5.0,7.0,,,5.0,4.0,2.0,,3.0,10,7.0,10,10
2005-01-14,89849,,11,1,2711.0,48113010,JRN,JOURNAL COMMUNICATIONS INC,JRN,511110.0,N,A,R,44393,1,2711.0,48113010.0,,,27.0,271.0,,,,,,,17.22,0.007017,27013.0,1.0,17.1,465163.86,JRN,9.0,10.0,9.0,,10.0,1,1.0,10.0,,,,6.0,8.0,,10.0,10.0,,,6.0,,,7.0,9.0,7.0,9.0,,,,2.0,3.0,6.0,9.0,9.0,3.0,,,10.0,1.0,,6.0,10.0,9.0,5.0,7.0,,,5.0,4.0,2.0,,3.0,10,7.0,10,10
